,Name,Type,ABV,Ratings,Average,Brewery
0,Barley Wine,Barleywine - American,12,3,3.13,Saint Archer Brewing Co.
1,Barrel Aged Imperial Porter,Porter - Imperial,13,1,4.26,Saint Archer Brewing Co.
2,Barrel Aged Scottish Export,Scottish Ale,8,7,3.83,Saint Archer Brewing Co.
3,Barrel-Aged Gose,Sour - Gose,4.6,3,3.89,Saint Archer Brewing Co.
4,Berliner Weiss,Sour - Berliner Weisse,3.5,1,4.47,Saint Archer Brewing Co.
5,Black IPL,Lager - Schwarzbier,7,4,3.37,Saint Archer Brewing Co.
6,Blackberry Berliner Weiss,Sour - Berliner Weisse,3.8,0,0,Saint Archer Brewing Co.
7,Blackberry Gose,Sour - Gose,4,41,3.72,Saint Archer Brewing Co.
8,Blonde Ale,Kölsch,4.8,178,3.56,Saint Archer Brewing Co.
9,Brown Ale,Brown Ale - American,5.6,1,3.54,Saint Archer Brewing Co.
10,Citra 7 IPA,IPA - American,7,36,4.05,Saint Archer Brewing Co.
11,Coffee Cream Porter - Double Vanilla,Porter - American,6.2,1,4.03,Saint Archer Brewing Co.
12,Double IPA,IPA - Imperial,8.3,42,4.04,Saint Archer Brewing Co.
13,Double IPA With Grapefruit,IPA - Imperial,8.3,1,4.36,Saint Archer Brewing Co.
14,Export Stout,Stout - Foreign / Export,8,2,3.61,Saint Archer Brewing Co.
15,Gold,Lager - Light,4.2,85,3.09,Saint Archer Brewing Co.
16,Gose,Sour - Gose,4,8,3.96,Saint Archer Brewing Co.
17,Guava Gose,Sour - Gose,4,8,3.35,Saint Archer Brewing Co.
18,Hazy IPA,IPA - New England,6,44,3.8,Saint Archer Brewing Co.
19,Hop Hash,IPA - American,6.8,10,4.05,Saint Archer Brewing Co.
20,Imperial Coffee Porter,Porter - Imperial,9.3,6,4.16,Saint Archer Brewing Co.
21,Imperial IPA,IPA - Imperial,9,14,4,Saint Archer Brewing Co.
22,Imperial Porter,Porter - Imperial,10,3,3.76,Saint Archer Brewing Co.
23,Imperial Stout,Stout - American Imperial,10,3,3.95,Saint Archer Brewing Co.
24,IPA With Passion Fruit,IPA - American,7,1,3.94,Saint Archer Brewing Co.
25,Irish Stout,Stout - Irish Dry,4.2,6,3.59,Saint Archer Brewing Co.
26,Mexican Lager,Lager - Vienna,4.4,7,3.49,Saint Archer Brewing Co.
27,Mosaic IPA,IPA - Imperial,9,358,4.33,Saint Archer Brewing Co.
28,Nelson IPL,Lager - India Pale Lager (IPL),6.8,69,4.08,Saint Archer Brewing Co.
29,Pale Ale,Pale Ale - American,5.5,199,3.72,Saint Archer Brewing Co.
30,Pub Beer,Mild Ale - English Pale,3.2,1,3.64,Saint Archer Brewing Co.
31,Red Ale,Red Ale - American Amber / Red,6.5,7,3.69,Saint Archer Brewing Co.
32,Robust Porter,Porter - Robust,6.2,3,3.95,Saint Archer Brewing Co.
33,RVCA Session IPA,IPA - American,5.5,2,3.68,Saint Archer Brewing Co.
34,Saint Archer Double IPA,IPA - Imperial,8.3,177,4.04,Saint Archer Brewing Co.
35,Saint Archer IPA,IPA - American,7,478,3.91,Saint Archer Brewing Co.
36,Saison,Farmhouse Ale - Saison,5.5,1,3.76,Saint Archer Brewing Co.
37,Scottish Ale,Scottish Ale,7,13,3.61,Saint Archer Brewing Co.
38,Stout,Stout - American,7.5,0,0,Saint Archer Brewing Co.
39,Tropical IPA,IPA - American,7,14,3.93,Saint Archer Brewing Co.
40,Tusk & Grain Barrel Aged Blend No. 3,Strong Ale - American,12,4,4.15,Saint Archer Brewing Co.
41,Tusk & Grain Bourbon Barrel Aged Belgian Quad,Quadrupel (Quad),13.96,7,4.51,Saint Archer Brewing Co.
42,Tusk & Grain Bourbon Barrel Aged Stout With Vanilla Bean.,Stout - American,13.4,1,4.18,Saint Archer Brewing Co.
43,Tusk & Grain Coconut Stout,Stout - American Imperial,13.4,110,4.32,Saint Archer Brewing Co.
44,Tusk & Grain Imperial Porter Aged In Kentucky Bourbon Barrels,Porter - Imperial,12.5,0,0,Saint Archer Brewing Co.
45,Tusk & Grain Imperial Porter W/ Coffee And Mexican Chocolate,Porter - Imperial,12.5,2,4.28,Saint Archer Brewing Co.
46,Tusk & Grain Rye Barrel Aged Rye Stout With Vanilla,Stout - American Imperial,10.59,3,4.24,Saint Archer Brewing Co.
47,Wee Heavy,Scotch Ale / Wee Heavy,9.5,1,3.24,Saint Archer Brewing Co.
48,White Ale,Wheat Beer - Witbier,5,175,3.65,Saint Archer Brewing Co.
0,Ožujsko Amber,Lager - American Amber / Red,4.8,6,3.43,Zagrebaèka Pivovara
1,Ozujsko Cool,Low Alcohol Beer,0.5,7,2.29,Zagrebaèka Pivovara
2,Ožujsko Gorka Naranča,Fruit and Field Beer,2,2,2.54,Zagrebaèka Pivovara
3,Ožujsko Grejp,Fruit and Field Beer,2,2,2.04,Zagrebaèka Pivovara
4,Ozujsko Hoppy Lager,Lager - European Pale,5,1,3.2,Zagrebaèka Pivovara
5,Ožujsko Jabuka,Fruit and Field Beer,2.5,3,2.53,Zagrebaèka Pivovara
6,Ožujsko Limun,Fruit and Field Beer,2,6,2.68,Zagrebaèka Pivovara
7,Ozujsko Pivo,Lager - European Pale,5,131,2.86,Zagrebaèka Pivovara
8,Ozujsko Psenicno,Wheat Beer - Hefeweizen,5.1,12,2.75,Zagrebaèka Pivovara
9,Ožujsko Rezano,Lager - European Dark,5.9,5,3.35,Zagrebaèka Pivovara
10,Staropramen Selection,Pilsner - Bohemian / Czech,4.8,2,2.9,Zagrebaèka Pivovara
11,Tomislav Crno Pivo,Porter - Baltic,7.3,56,3.71,Zagrebaèka Pivovara
0,Altitude,Lager - Adjunct,6.4,1,3.05,Coors Brewing Company (Molson-Coors)
1,Batch 19,Lager - Adjunct,5.5,1270,3.36,Coors Brewing Company (Molson-Coors)
2,Blue Man Table Pilsner,Lager - American Amber / Red,4.9,2,2.57,Coors Brewing Company (Molson-Coors)
3,Blue Moon 2nd Anniversary,Strong Ale - American,13,2,3.88,Coors Brewing Company (Molson-Coors)
4,Blue Moon Agave Nectar Ale,Wheat Beer - American Pale,5.6,874,3.03,Coors Brewing Company (Molson-Coors)
5,Blue Moon Barrel Aged Bourbon Breakfast Brown Ale,Brown Ale - American,13.2,1,5,Coors Brewing Company (Molson-Coors)
6,Blue Moon Belgian Pale Ale,Pale Ale - Belgian,5.4,3,3.43,Coors Brewing Company (Molson-Coors)
7,Blue Moon Belgian Table Pils,Lager - American,4.2,178,3.35,Coors Brewing Company (Molson-Coors)
8,Blue Moon Belgian White,Wheat Beer - Witbier,5.4,7559,3.43,Coors Brewing Company (Molson-Coors)
9,Blue Moon Blackberry Tart Ale,Fruit and Field Beer,5.8,329,3.09,Coors Brewing Company (Molson-Coors)
10,Blue Moon Cappuccino Oatmeal Stout,Stout - Oatmeal,5.9,340,3.62,Coors Brewing Company (Molson-Coors)
11,Blue Moon Caramel Apple Spiced Ale,Herb and Spice Beer,5.8,451,3.08,Coors Brewing Company (Molson-Coors)
12,Blue Moon Chocolate Banana Porter,Porter - American,5.8,1,4.02,Coors Brewing Company (Molson-Coors)
13,Blue Moon Cinnamon Horchata Ale,Herb and Spice Beer,5.5,733,3.59,Coors Brewing Company (Molson-Coors)
14,Blue Moon Cocoa Brown Ale,Brown Ale - American,4.9,40,3.41,Coors Brewing Company (Molson-Coors)
15,Blue Moon Cranberry Lavender Blonde,Blonde Ale - American,6.1,1,3.75,Coors Brewing Company (Molson-Coors)
16,Blue Moon Double IPA,IPA - Imperial,8.5,0,0,Coors Brewing Company (Molson-Coors)
17,Blue Moon Farmhouse Red Ale,Farmhouse Ale - Saison,5.4,372,3.15,Coors Brewing Company (Molson-Coors)
18,Blue Moon First Peach Ale,Brown Ale - American,5.6,329,3.4,Coors Brewing Company (Molson-Coors)
19,Blue Moon Gingerbread Spiced Ale,Herb and Spice Beer,5.9,385,3.31,Coors Brewing Company (Molson-Coors)
20,Blue Moon Grape Scott,Fruit and Field Beer,9,6,3.07,Coors Brewing Company (Molson-Coors)
21,Blue Moon Harvest Pumpkin Wheat,Pumpkin Beer,5.7,2826,3.14,Coors Brewing Company (Molson-Coors)
22,Blue Moon Iced Coffee Blonde,Blonde Ale - American,5.5,82,3.65,Coors Brewing Company (Molson-Coors)
23,Blue Moon Lemondrop Pilsner,Pilsner - German,5.5,1,3.5,Coors Brewing Company (Molson-Coors)
24,Blue Moon LightSky,Wheat Beer - American Pale,4,27,3.57,Coors Brewing Company (Molson-Coors)
25,Blue Moon Lumination,Porter - American,5.2,1,4,Coors Brewing Company (Molson-Coors)
26,Blue Moon Mango Wheat,Fruit and Field Beer,5.4,230,3.57,Coors Brewing Company (Molson-Coors)
27,Blue Moon Mexican Chocolate,Stout - American,5.5,6,4.21,Coors Brewing Company (Molson-Coors)
28,Blue Moon Mojito Blonde,Blonde Ale - American,6.5,3,3.83,Coors Brewing Company (Molson-Coors)
29,Blue Moon Orange Blossom Honey,Kölsch,5.5,1,3.5,Coors Brewing Company (Molson-Coors)
30,Blue Moon Proximity,Wheat Beer - American Pale,8.5,91,3.15,Coors Brewing Company (Molson-Coors)
31,Blue Moon Rising Moon Spring Ale,Red Ale - American Amber / Red,5.4,351,2.97,Coors Brewing Company (Molson-Coors)
32,Blue Moon Rounder Belgian-Style Pale,Pale Ale - Belgian,5.6,809,3.14,Coors Brewing Company (Molson-Coors)
33,Blue Moon Rum BA Maple Pumpkin,Pumpkin Beer,11.4,3,3.75,Coors Brewing Company (Molson-Coors)
34,Blue Moon Russian Imperial Stout,Stout - Russian Imperial,10,0,0,Coors Brewing Company (Molson-Coors)
35,Blue Moon Short Straw Farmhouse Red Ale,Farmhouse Ale - Saison,5.4,771,3.12,Coors Brewing Company (Molson-Coors)
36,Blue Moon Spiced Amber Ale,Red Ale - American Amber / Red,5.6,214,3.45,Coors Brewing Company (Molson-Coors)
37,Blue Moon Spring Blonde Wheat Ale,Wheat Beer - American Pale,5.4,406,2.8,Coors Brewing Company (Molson-Coors)
38,Blue Moon Summer Honey Wheat,Wheat Beer - American Pale,5.2,1197,3.12,Coors Brewing Company (Molson-Coors)
39,Blue Moon Summer Sour,Sour - Gose,5,1,4,Coors Brewing Company (Molson-Coors)
40,Blue Moon Tongue Thai-Ed,Herb and Spice Beer,7.5,94,2.9,Coors Brewing Company (Molson-Coors)
41,Blue Moon Valencia Amber Ale,Red Ale - American Amber / Red,5.9,479,3.07,Coors Brewing Company (Molson-Coors)
42,Blue Moon Vintage Blonde Ale,Strong Ale - Belgian Pale,8.5,84,3.35,Coors Brewing Company (Molson-Coors)
43,Blue Moon White Hot Wit,Wheat Beer - Witbier,6.3,1,4,Coors Brewing Company (Molson-Coors)
44,Blue Moon White IPA,IPA - American,5.9,573,3.41,Coors Brewing Company (Molson-Coors)
45,Blue Moon Wild Pitch,Wheat Beer - Hefeweizen,5.8,1,2.56,Coors Brewing Company (Molson-Coors)
46,Blue Moon Winter Wheat,Herb and Spice Beer,5.9,48,3.63,Coors Brewing Company (Molson-Coors)
47,Carling,Lager - Adjunct,8,0,0,Coors Brewing Company (Molson-Coors)
48,Coors Banquet,Lager - Adjunct,5,3176,2.61,Coors Brewing Company (Molson-Coors)
49,Coors Edge,Low Alcohol Beer,0.5,4,2.23,Coors Brewing Company (Molson-Coors)
50,Coors Extra Gold,Lager - Adjunct,5,324,2.58,Coors Brewing Company (Molson-Coors)
51,Coors Light,Lager - Light,4.2,5519,1.99,Coors Brewing Company (Molson-Coors)
52,Coors Light Citrus Radler,Fruit and Field Beer,4.2,70,2.77,Coors Brewing Company (Molson-Coors)
53,Coors Light Iced T,Lager - Adjunct,4,54,1.79,Coors Brewing Company (Molson-Coors)
54,Coors Light Summer Brew,Fruit and Field Beer,3.9,269,2.43,Coors Brewing Company (Molson-Coors)
55,Coors Non-Alcoholic,Low Alcohol Beer,0.5,97,2.14,Coors Brewing Company (Molson-Coors)
56,Coors Organic,Lager - Light,3.8,1,3.11,Coors Brewing Company (Molson-Coors)
57,Coors Peak,Lager - Adjunct,4.7,7,2.26,Coors Brewing Company (Molson-Coors)
58,George Killian's Irish Red,Lager - American Amber / Red,4.9,3180,3.06,Coors Brewing Company (Molson-Coors)
59,George Killian's Irish Red (3.2%),Lager - Light,3.2,79,2.72,Coors Brewing Company (Molson-Coors)
60,George Killian's Irish Stout,Stout - Irish Dry,4.9,335,3.34,Coors Brewing Company (Molson-Coors)
61,IronMoon: Blueberry Berliner,Sour - Berliner Weisse,5.2,1,3.67,Coors Brewing Company (Molson-Coors)
62,Keystone Ice,Lager - Adjunct,5.9,776,1.65,Coors Brewing Company (Molson-Coors)
63,Keystone Light,Lager - Light,4.1,2129,1.73,Coors Brewing Company (Molson-Coors)
64,Keystone Light Keylightful,Fruit and Field Beer,4.1,8,2.99,Coors Brewing Company (Molson-Coors)
65,Keystone Light Lime,Lager - Light,4.2,10,2.74,Coors Brewing Company (Molson-Coors)
66,Keystone Premium,Lager - Adjunct,4.4,158,1.76,Coors Brewing Company (Molson-Coors)
67,Keystone V9,Red Ale - American Amber / Red,5.9,6,2,Coors Brewing Company (Molson-Coors)
68,Miller Ace,Lager - Adjunct,8,1,2.45,Coors Brewing Company (Molson-Coors)
69,Third Shift Amber Lager,Lager - American Amber / Red,5.3,1246,3.02,Coors Brewing Company (Molson-Coors)
70,Third Shift Session IPA,IPA - American,0,9,2.34,Coors Brewing Company (Molson-Coors)
71,Thunderbolt,Lager - Adjunct,7.5,1,2.94,Coors Brewing Company (Molson-Coors)
0,Hamm's,Lager - Adjunct,4.6,1088,2.83,Hamms Brewing Co.
1,Hamm's Golden Draft,Lager - Adjunct,4.7,23,2.93,Hamms Brewing Co.
2,Hamm's Special Light,Lager - Light,3.8,116,2.58,Hamms Brewing Co.
0,541 Lager,Lager - American,5,34,3.36,Hop Valley
1,Ahtanum Single Hop Pale Ale,Pale Ale - American,5,1,3.53,Hop Valley
2,Alpha Centauri Binary IPA,IPA - Imperial,9,352,4.07,Hop Valley
3,Alphadelic IPA,IPA - American,7.2,351,3.85,Hop Valley
4,Bambino Stash India Pale Ale,IPA - American,5.5,17,3.66,Hop Valley
5,Bandon Dunes Pale Ale,Pale Ale - American,5.5,2,4.23,Hop Valley
6,Blonde Ale,Blonde Ale - American,5,7,3.62,Hop Valley
7,Blueberry Sour Saison,Farmhouse Ale - Saison,7.7,1,4.01,Hop Valley
8,Bubble Stash,IPA - American,0,0,0,Hop Valley
9,Bubble Stash,IPA - American,6.2,90,3.9,Hop Valley
10,Bulle Bulle,IPA - Imperial,8.3,9,3.85,Hop Valley
11,Christmas Mistress,IPA - American,6.5,4,3.87,Hop Valley
12,Citrus Mistress,IPA - American,6.3,405,3.91,Hop Valley
13,Cryo Stash Imperial IPA,IPA - Imperial,8.7,46,3.87,Hop Valley
14,Czech Your Head Pils,Pilsner - Bohemian / Czech,5.6,22,3.63,Hop Valley
15,Delicate Thunder,Pale Ale - American,4.5,3,3.56,Hop Valley
16,Divine Shine,Pale Ale - American,4.5,26,3.68,Hop Valley
17,Double D Blonde,Blonde Ale - American,4.9,53,3.6,Hop Valley
18,Doubledelic,IPA - Imperial,9.6,9,3.9,Hop Valley
19,Dub Dub,IPA - Imperial,8.3,2,3.63,Hop Valley
20,Duper Bock,Bock - Doppelbock,5.9,1,3.5,Hop Valley
21,Elias Briggs Cream Ale,Cream Ale,0,5,3.14,Hop Valley
22,Festeroo Winter Ale,Winter Warmer,7.8,45,3.74,Hop Valley
23,Galactose Milk Stout,Stout - Sweet / Milk,4.8,3,3.68,Hop Valley
24,Hop Fresh Pale Ale,Pale Ale - American,5.3,2,3.2,Hop Valley
25,Imperial Mistress,IPA - Imperial,8.5,10,3.93,Hop Valley
26,Lemon Fellow,Stout - Oatmeal,6,1,4,Hop Valley
27,Light Me Up Lager,Lager - American,4,26,2.99,Hop Valley
28,Macho Libre IPA,IPA - Imperial,8.7,20,3.9,Hop Valley
29,Mango & Stash,IPA - American,6,22,3.74,Hop Valley
30,Mr. Orange,Pale Ale - American,5.9,5,3.65,Hop Valley
31,Natty Red,Red Ale - American Amber / Red,8,4,3.62,Hop Valley
32,Natty Red Nitro,Red Ale - American Amber / Red,8,1,4,Hop Valley
33,Neon Prince,IPA - American,4.5,17,3.57,Hop Valley
34,Operation Vacation,Pale Ale - American,5.5,27,3.67,Hop Valley
35,Pale Ale,Pale Ale - American,5.4,6,3.9,Hop Valley
36,Palisaderade,IPA - American,6.1,1,3.94,Hop Valley
37,Passion Stash,IPA - American,6.4,1,4,Hop Valley
38,Patty's Irish Red Lager,Lager - American Amber / Red,5.4,1,3.5,Hop Valley
39,Pick And Grin IPA,IPA - American,6.8,1,3.75,Hop Valley
40,Pollination Summer Ale,Blonde Ale - American,5.5,10,3.43,Hop Valley
41,Proxima IPA,IPA - American,6.2,83,3.77,Hop Valley
42,Red Ale,Red Ale - American Amber / Red,6,13,3.85,Hop Valley
43,Red Can Light Lager,Lager - Light,4.1,1,4,Hop Valley
44,Reveal,Pale Ale - American,6,3,3.58,Hop Valley
45,Secret Chief Stout,Stout - American,5.3,9,3.77,Hop Valley
46,Smile Stash,IPA - American,6.5,1,4,Hop Valley
47,Smurf Juice,IPA - American,5,1,3.77,Hop Valley
48,Solid Baby,IPA - American,7.4,7,3.78,Hop Valley
49,Stash Exotic Hazy Blonde Ale,Blonde Ale - American,4.5,0,0,Hop Valley
50,Stash Panda,IPA - New England,6.5,5,3.86,Hop Valley
51,Stella IPA,IPA - American,0,1,3.5,Hop Valley
52,Stepchild Red,Red Ale - American Amber / Red,6.1,24,3.6,Hop Valley
53,Stout,Stout - American,8,2,4.05,Hop Valley
54,The Heff,Wheat Beer - American Pale,4.9,9,3.41,Hop Valley
55,Vanilla Infused Porter (V.I.P.),Porter - American,5.9,139,3.77,Hop Valley
0,3 Up 3 Down unfiltered IPA,IPA - American,7,1,3.45,Terrapin Beer Company
1,Ales From The Wood: Richland Reserve Vol. 2,Stout - Sweet / Milk,11,62,4.1,Terrapin Beer Company
2,All American Oat Pale Ale,Pale Ale - American,6.5,27,3.79,Terrapin Beer Company
3,Barrel Aged Moo-Hoo On Raspberries,Stout - Sweet / Milk,6.5,12,3.6,Terrapin Beer Company
4,Barrel Aged Tiramisu-Hoo,Stout - American Imperial,11,1,4.75,Terrapin Beer Company
5,Beyond The Galaxy,IPA - American,6.3,87,3.78,Terrapin Beer Company
6,Big Hoppy Monster - Oaked,Red Ale - Imperial,10.3,565,3.89,Terrapin Beer Company
7,Blueberry Thyme Saison,Farmhouse Ale - Saison,9.1,19,3.52,Terrapin Beer Company
8,Bourbon Barrel Aged Hopzilla,IPA - Imperial,10.7,6,4.18,Terrapin Beer Company
9,Bourbon Barrel Wake-n-Bake,Stout - American Imperial,9.4,25,4.31,Terrapin Beer Company
10,Chopsecutioner,IPA - American,5,44,3.52,Terrapin Beer Company
11,Cinnamon Roll'd WnB Oatmeal Stout,Stout - Oatmeal,9.4,771,4.31,Terrapin Beer Company
12,Cloverleaf,Stout - Irish Dry,4.1,1,4.09,Terrapin Beer Company
13,Cryosphere,IPA - American,5.5,7,3.29,Terrapin Beer Company
14,Cumulus Lupulus,IPA - Imperial,8.1,68,4,Terrapin Beer Company
15,Dancing Gummy Beer,Sour - Berliner Weisse,4.2,3,3.23,Terrapin Beer Company
16,Frenchy's Blues,Sour - Berliner Weisse,5,0,0,Terrapin Beer Company
17,Full Of Balarney,Stout - Irish Dry,4.2,57,3.57,Terrapin Beer Company
18,Gamma Ray,Wheat Beer - Wheatwine,10.8,503,3.81,Terrapin Beer Company
19,Golden Ale,Cream Ale,5,464,3.46,Terrapin Beer Company
20,Golden Apple Pie,Cream Ale,5,1,3.33,Terrapin Beer Company
21,Good To Gose,Sour - Gose,4.5,49,3.68,Terrapin Beer Company
22,Grapefruit Hi-5 IPA,IPA - American,5.9,12,3.85,Terrapin Beer Company
23,Hawkes’ Grog Ale,Wheat Beer - American Pale,5.3,5,2.87,Terrapin Beer Company
24,Hi-5 IPA,IPA - American,5.9,8,3.83,Terrapin Beer Company
25,High & Hazy,IPA - New England,5.8,17,3.98,Terrapin Beer Company
26,Hop Selection,IPA - Imperial,8.4,5,3.16,Terrapin Beer Company
27,Hoppin' Bubbly,IPA - Brut,6.5,37,3.76,Terrapin Beer Company
28,Hopsecutioner,IPA - American,7.3,3654,3.83,Terrapin Beer Company
29,Incoming Batsman,IPA - English,6.2,3,3.66,Terrapin Beer Company
30,Irish BUH-BYE Wake-N-Bake,Stout - American Imperial,9.4,46,4.26,Terrapin Beer Company
31,Jazz Cabbage,IPA - American,6,43,3.76,Terrapin Beer Company
32,Liquid Bliss,Porter - American,6.1,1556,3.84,Terrapin Beer Company
33,Los Bravos,Lager - Vienna,5.1,3,3.79,Terrapin Beer Company
34,Luau Krunkles,IPA - American,6.5,285,3.92,Terrapin Beer Company
35,Maggie's Farmhouse Ale - Peach,Farmhouse Ale - Saison,5.3,689,3.51,Terrapin Beer Company
36,Magic Brownie,Porter - American,6.63,7,3.55,Terrapin Beer Company
37,Moo-Hoo Chocolate Milk Stout,Stout - Sweet / Milk,6.1,2650,3.98,Terrapin Beer Company
38,Moo-HooChiato,Stout - Sweet / Milk,8.5,540,4.14,Terrapin Beer Company
39,Moo-Tella: Chocolate Hazelnut Imperial Milk Stout,Stout - Sweet / Milk,8.5,64,3.84,Terrapin Beer Company
40,Mosaic Red Rye IPA,IPA - American,6.3,501,3.82,Terrapin Beer Company
41,Mo’ara High Country Ale,Lager - American Amber / Red,5.2,2,3.34,Terrapin Beer Company
42,One Hopper Simcoe Pale Ale,Pale Ale - American,5.5,1,3.9,Terrapin Beer Company
43,Panama Krunkles,IPA - American,6.5,66,3.85,Terrapin Beer Company
44,Peach Dreamsicle,IPA - Imperial,7.89,12,3.8,Terrapin Beer Company
45,Poivre Potion,Farmhouse Ale - Saison,9.3,90,3.83,Terrapin Beer Company
46,Pumpkinfest,Fruit and Field Beer,6.1,924,3.69,Terrapin Beer Company
47,RecreationAle,Pale Ale - American,4.7,805,3.7,Terrapin Beer Company
48,Rye Cubed,IPA - Imperial,10.7,336,3.8,Terrapin Beer Company
49,Señor Krunkles,IPA - American,6.5,27,3.63,Terrapin Beer Company
50,Side Project #28: Smoke On The Porter,Porter - Baltic,8.5,74,3.91,Terrapin Beer Company
51,Side Project #31: Himalayan Pink Sea Salt Lime Gose,Sour - Gose,4.5,8,4.08,Terrapin Beer Company
52,So Fresh & So Green,IPA - English,6.6,1,4,Terrapin Beer Company
53,"So Fresh & So Green, Green",IPA - American,6.6,506,3.72,Terrapin Beer Company
54,"So Fresh & So Green, Green 2019 Zuper Saazer",Pilsner - German,5.2,4,3.78,Terrapin Beer Company
55,Sound Czech,Pilsner - Bohemian / Czech,5.5,164,3.84,Terrapin Beer Company
56,Southpaw Stout,Stout - Foreign / Export,7,1,4.12,Terrapin Beer Company
57,Strawberry Dreamsicle,IPA - American,7.9,3,3.6,Terrapin Beer Company
58,Strike Zone,Pale Ale - American,5.1,1,3.85,Terrapin Beer Company
59,Substance Abuse,Stout - American Imperial,0,39,4.16,Terrapin Beer Company
60,T-Time,Sour - Berliner Weisse,4,54,3.67,Terrapin Beer Company
61,Tangerine Dreamsicle,IPA - American,6.5,304,3.6,Terrapin Beer Company
62,The Walking Dead Blood Orange IPA,IPA - American,7.7,297,3.69,Terrapin Beer Company
63,Three Strikes You're Stout,Stout - Sweet / Milk,5,1,4.22,Terrapin Beer Company
64,Touch of Grisette,Farmhouse Ale - Saison,4.5,7,3.36,Terrapin Beer Company
65,Up-Hi IPA,IPA - American,5.9,1338,3.88,Terrapin Beer Company
66,Wake-n-Bake Coffee Oatmeal Imperial Stout,Stout - Oatmeal,9.4,4054,4.3,Terrapin Beer Company
67,Watermelon Gose,Sour - Gose,4.5,186,3.81,Terrapin Beer Company
68,White Chocolate Moo-Hoo Milk Stout,Stout - Sweet / Milk,7.6,456,3.92,Terrapin Beer Company
